"","migration","generation_with_min_pop_size","min_pop_size","simulated_gen","maximal_pop_size","success"
"151",0,37,32,106,5452,"reached_max"
"152",0,58,12,144,5364,"reached_max"
"153",0,44,0,44,1000,"extinction"
"154",0,68,0,68,1000,"extinction"
"155",0,40,77,100,5055,"reached_max"
"156",0,62,20,129,5236,"reached_max"
"157",0,28,81,90,5071,"reached_max"
"158",0,42,0,42,1000,"extinction"
"159",0,34,20,103,5012,"reached_max"
"160",0,42,39,101,5198,"reached_max"
"161",0,62,0,62,1000,"extinction"
"162",0,45,0,45,1000,"extinction"
"163",0,46,41,125,5194,"reached_max"
"164",0,33,9,115,5548,"reached_max"
"165",0,34,0,34,1000,"extinction"
"166",0,42,20,127,5009,"reached_max"
"167",0,26,130,78,5045,"reached_max"
"168",0,53,0,53,1000,"extinction"
"169",0,49,4,126,5145,"reached_max"
"170",0,30,100,83,5318,"reached_max"
"171",0,45,0,45,1000,"extinction"
"172",0,66,20,141,5139,"reached_max"
"173",0,60,1,164,5027,"reached_max"
"174",0,51,1,118,5332,"reached_max"
"175",0,58,0,58,1000,"extinction"
"176",0,71,0,71,1000,"extinction"
"177",0,48,9,137,5162,"reached_max"
"178",0,62,22,126,5139,"reached_max"
"179",0,44,58,104,5414,"reached_max"
"180",0,47,48,107,5112,"reached_max"
"181",0,39,12,119,5173,"reached_max"
"182",0,49,7,130,5379,"reached_max"
"183",0,41,77,107,5228,"reached_max"
"184",0,55,9,145,5138,"reached_max"
"185",0,50,9,128,5215,"reached_max"
"186",0,39,32,100,5475,"reached_max"
"187",0,55,0,55,1000,"extinction"
"188",0,48,27,128,5297,"reached_max"
"189",0,40,100,92,5369,"reached_max"
"190",0,49,0,49,1000,"extinction"
"191",0,59,13,140,5011,"reached_max"
"192",0,41,0,41,1000,"extinction"
"193",0,38,14,104,5011,"reached_max"
"194",0,60,9,143,5248,"reached_max"
"195",0,35,34,96,5402,"reached_max"
"196",0,44,18,124,5157,"reached_max"
"197",0,49,0,49,1000,"extinction"
"198",0,68,9,156,5103,"reached_max"
"199",0,39,25,121,5088,"reached_max"
"200",0,64,0,64,1000,"extinction"
"201",0,46,64,123,5451,"reached_max"
"202",0,64,0,64,1000,"extinction"
